ID,Name,Latitude,Longitude,Georef. S/N,Still Exists,Lifespan,Year Built,Year Destroyed,HasData,Population Density,Total Population,Median Age,% Seniors,% w/ Children,Median Home Value,Per Capita Income,% White,% Black,% Amerindian,% Asian,% Pacific Islander,% Other Race,% 2+ Races,Diversity Index,Total Housing Units,% w/ Disability,% Below Poverty,Median Household Income
43,Cole Family Burial Ground,40.8768646,-73.9031391,46,No,75,1820,1895,1,71222.5,21549,37.4,13.73,55.96,303623,25965,13.36,18.57,1.69,2.4,0.1,46.83,17.04,81.2,8945,28.26,28.24,49078
44,88th Street Jewish Cemetery,40.7816553,-73.9572121,47,No,59,1840,1899,1,93039.7,28150,44.8,26.72,42.3,1881313,119487,80.64,1.18,0.11,9.29,0.02,1.81,6.96,41.5,16225,13.28,5.89,188932
45,Mendelssohn Benevolent Society Cemetery,40.7805233,-73.9562811,,No,33,1845,1878,1,123172.7,37267,41.2,22.99,42.23,1708946,119730,77.99,1.51,0.1,10.8,0.01,2.11,7.48,45.4,21921,14.18,5.73,175449
46,Anshe Chesed Cemeteries (45th st),40.7570671,-73.9829176,48,No,45,1830,1875,1,15540.8,4702,38.4,15.46,16.99,1383803,83808,32.73,29.37,0.81,22.59,0.57,6.98,6.98,82.6,3337,27.38,26.74,50375
47,Anshe Chesed Cemeteries (89th st),40.7830687,-73.9585808,49,No,34,1846,1880,1,56365.9,17054,50.4,31.4,42.08,2000001,124191,83.24,0.99,0.1,7.51,0.03,1.53,6.6,37.4,9726,14.92,5.59,200001
48,Watt-Pinkney Family Burial Ground,40.8178206,-73.9411737,,No,99,1826,1925,1,94576.6,28615,37.1,14.28,53.27,671189,37303,11.85,61.62,0.85,3.05,0.16,12.63,9.84,73.6,14689,27.1,24.79,50626
49,"Shaar Hashomayim Cemetery, Williamsburg",40.7094917,-73.9534717,38,No,50,1839,1889,1,71400.9,21603,32.6,9.51,52.43,1091667,57618,50.51,5.36,0.87,6.23,0.06,23.87,13.1,82.6,10232,20.26,19.78,86441
55,St. Michael's Churchyard and Cemetery,40.7980708,-73.9654913,50,No,62,1828,1890,1,114083.5,34517,40.6,21.98,43.35,1059794,68177,44.39,17.32,0.75,10.37,0.06,14.8,12.32,84,18596,22.37,20.35,84015
60,Bethel Baptist Church Cemetery,40.720512,-73.992358,51,No,21,1819,1840,1,86287.3,26107,34.3,15.31,37.45,998188,63184,40.48,5.67,0.24,37.92,0.15,7.74,7.79,76.1,15070,16.74,16.05,79406
63,Naval Cemetery,40.6993486,-73.9631716,52,No,79,1831,1910,1,29514.9,8930,22,12.07,69.26,941239,19889,83.49,2.75,0.36,1.71,0,6.85,4.82,39.8,2373,20.21,33.87,43750
66,New/Middle Dutch Churchyard,40.7081471,-74.0095207,53,No,110,1729,1839,1,102274.3,30944,30.6,3.42,32.78,1458995,127717,62.31,4.97,0.19,19.79,0.09,3.12,9.53,64.2,19622,3.71,5.55,200001
69,"African Burial Ground, Flatbush",40.6503185,-73.9561183,25,No,0,,,1,72270.2,21866,36.6,14.52,54.35,861607,38322,12.19,64.8,0.69,3.04,0.07,9.24,9.96,67.2,9588,14.54,17.29,68480
70,Wallabout Cemetery,40.6949466,-73.9771872,35,No,27,1827,1854,1,54131.6,16378,36.1,14.43,46.77,857824,54583,19.9,39.99,0.7,18.9,0.21,10.82,9.48,83.5,7662,27.63,23.01,64408
73,Hardenbrook Cemetery,40.7628991,-73.955482,54,No,136,1767,1903,1,75195.3,22751,36.3,16.5,41.89,1117973,113571,65.93,3.47,0.13,18.79,0.05,2.37,9.27,59.6,14628,13.83,6,149544
75,Newtown Cemetery,40.7363805,-73.8696355,30,No,198,1730,1928,1,58633.2,17740,40.2,16.34,48.14,943469,35995,9.59,5.69,1.52,52.58,0.06,21.7,8.87,80.9,6439,21.54,11.81,75551
78,Ursuline Sister Burial Grounds,40.8167716,-73.9102549,55,No,37,1855,1892,1,65226.9,19735,34.4,11.57,55.16,336538,19705,8.92,35.7,1.57,1.21,0.14,37.41,15.06,83.6,7745,35.66,33.87,31799
79,Amity Street Baptist Burial Ground,40.729082,-73.9966837,56,No,35,1814,1849,1,79716.7,24119,35,17.25,34.54,1326856,116016,73.17,2.94,0.09,12.29,0.06,2.6,8.84,52.3,15292,12.29,7.09,154600
82,"Public Burial Ground,Queens",40.7108555,-73.7389615,57,No,54,1844,1898,1,22329.5,6756,40.8,16.89,54.19,636661,34936,3.92,65.54,0.68,9.07,0.21,11.66,8.93,65.7,2200,32.33,10.95,103900
83,New Lots Cemetery,40.6657369,-73.8860248,34,No,97,1823,1920,1,54399.3,16459,37.5,14.11,53.78,662069,25355,4.1,69.86,0.61,1.73,0.09,11.62,11.99,66.4,6215,24.55,26.69,55277
84,Bethel A.M.E. Church Cemetery,40.8348638,-73.8557934,58,No,45,1849,1894,1,80850.3,24462,38,13.95,56.44,265086,28837,7.62,26.43,1.6,29.64,0.11,23.23,11.37,88,9724,29.33,19.07,59411
85,"African Burial Ground, Harlem",40.8029678,-73.9318501,59,No,194,1686,1880,1,32016.9,9687,36.6,14.98,61.75,573718,20878,11.48,38.09,2.02,3.4,0.08,31.64,13.28,86,4424,31.67,45.32,19504
90,"Public Burial Ground, East 50th Street",40.7560574,-73.9736201,61,No,18,1825,1843,1,31683.1,9586,34.7,12.74,27.66,956933,113491,58.4,5.14,0.1,24.02,0.29,2.79,9.26,66.1,7197,12.78,7.39,121232
91,"Public Burial Ground, Bryant Park",40.7539292,-73.9826485,62,No,12,1825,1837,1,16928.9,5122,39.2,14.1,29.86,889151,129367,41.82,19.86,0.45,23.76,0.49,5.25,8.38,79.2,4077,13.08,9.69,174724
92,"Public Burial Ground, Washington square Park",40.7308148,-73.9974169,63,No,28,1797,1825,1,96827.4,29296,34.4,16.19,33.34,1297923,122926,73.16,3.13,0.1,11.79,0.05,2.93,8.83,53,18258,11.64,6.24,165065
93,"Public Burial Ground, Madison Square Park",40.7426995,-73.9875403,65,No,3,1794,1797,1,66661.4,20169,33.9,9.9,33.53,1556349,124088,63.69,8.06,0.18,15.84,0.05,3.77,8.4,64,12861,8.15,10.6,178300
94,Alm's House Burial Ground,40.7126449,-74.0056828,66,No,0,,,1,71721.5,21700,33.3,10.33,41.2,981889,107131,58.52,6.61,0.19,22.68,0.1,3.04,8.87,66.9,11742,9.15,10.2,179618
95,Kings County Cemetery,40.657328,-73.9325791,33,No,71,1843,1914,1,39053.5,11816,41.8,18.64,46.42,632723,31371,5.95,79.77,0.19,1.34,0.06,3.38,9.32,43.6,4423,22.62,17.09,61777
96,18th Street Methodist Churchyard,40.7427113,-74.0012483,67,No,109,1836,1945,1,89503.2,27080,38.2,15.88,35.35,911189,108149,66.35,5.82,0.44,10.68,0.14,6.11,10.46,65.5,18750,13.63,11.53,121061
98,"African Burial Ground, Elmhurst",40.7424148,-73.8745699,24,No,110,1818,1928,1,93337.2,28240,39,13.27,56.07,769893,25393,7.42,1.36,2.81,47.34,0.03,32.48,8.57,82.7,9316,19.48,10.96,62352
100,Underhill Family Burial Ground,40.8697504,-73.8597506,68,No,249,1775,2024,1,42940.4,12992,37.8,13.84,54.09,637715,32801,8.74,48.55,1.13,5.87,0.17,24.75,10.81,83.3,5013,25.29,17.06,67041
101,Spring Street Presbyterian Church Burial Vaults,40.725416,-74.0054565,69,No,155,1811,1966,1,42785,12945,35.9,14.62,40.42,2000001,119250,74.71,2.33,0.08,10.3,0.04,2.48,10.06,51.5,8997,8.89,5.1,157907
105,"Quarantine Cemeteries, Tompkinsville (North)",40.6411248,-74.0772274,70,No,12,1846,1858,1,17560.2,5313,40.3,15.73,43.04,655759,45202,32.73,24.77,1.51,14.15,0.04,15.06,11.74,86.8,2592,21.69,20.38,67033
106,"Quarantine Cemeteries, Tompkinsville (South)",40.6388151,-74.0768136,71,No,59,1799,1858,1,14476.5,4380,40.3,15.39,45.53,647857,47431,33.56,21.89,1.67,13.65,0.05,17.58,11.6,87.3,2113,18.59,20.5,76575
108,"Quarantine Cemeteries, Seguine's Point",40.5153911,-74.1898895,73,No,30,1858,1888,1,1024.6,310,41.6,17.1,52.54,833333,50659,76.77,1.29,0.32,9.35,0,3.55,8.71,52,120,16.39,22.13,105736
110,Rantus Family Cemetery,40.734981,-73.8223354,,No,99,1853,1952,1,11191.2,3386,35.9,18.84,44.05,795802,44223,44.51,5.32,0.83,36.56,0.06,6.41,6.29,72.6,1301,13.59,11.65,75826
115,"African Burial Ground, Inwood",40.8675865,-73.9171484,74,No,0,,,1,48906.2,14797,40.4,16.55,48.48,553191,45274,27.21,8.23,1.28,2.83,0.13,42.41,17.9,83.8,7013,26.65,16.6,72883
117,"Friends Cemetery, East Houston St.",40.7232846,-73.9920495,75,No,50,1796,1846,1,78949.9,23887,34.1,14.67,35.65,1216805,70646,51.43,6.21,0.5,24.09,0.14,8.68,8.96,75.7,14579,16.75,17.22,75817
118,"Prebysterian Cemeteries, South Houston St.",40.7230041,-73.9909756,76,No,62,1803,1865,1,85890.7,25987,34.4,15.65,34.71,947939,71881,52.41,5.95,0.49,23.69,0.14,8.37,8.95,75.1,15970,17.94,17.99,76046
119,"Reformed Dutch Cemetery, South Houston St.",40.7228052,-73.9901061,77,No,47,1821,1868,1,91754,27761,34,14.8,34.86,930556,71372,52.22,6.07,0.54,23.26,0.13,8.63,9.15,75.6,17109,17.58,18.04,77406
120,Methodist Episcopal Church,40.7246231,-73.9910841,79,No,48,1805,1853,1,83600.2,25294,34.3,15.15,31.9,969649,78874,57.78,5.86,0.51,18.96,0.14,7.52,9.22,72,16162,17.68,18.16,79088
121,"Baptist Cemetery, North Houston St.",40.7234752,-73.9900748,78,No,46,1815,1861,1,92011.8,27839,34.2,15.27,32.64,889210,74209,55.29,6.01,0.52,20.42,0.14,8.32,9.31,74.1,17402,17.36,17.78,77962
122,Methodist Society Cemetery,40.7243037,-73.9896411,80,No,54,1820,1874,1,95528.5,28903,34,14.93,32.15,908887,75143,57.39,5.8,0.54,19.3,0.13,7.58,9.27,72.4,18357,16.95,18.95,77615
124,A.M.E Zion Church Cemetery,40.7176534,-74.0059331,81,No,43,1821,1864,1,57902.8,17519,35.4,12.14,50.67,2000001,111277,66.33,4.91,0.14,14.69,0.07,3.76,10.09,60.1,9004,13.52,7.19,200001
126,Citizen's Union/ Mount Pleasant Cemetery,40.6703677,-73.9253521,31,No,21,1851,1872,1,59971.8,18145,35,11.66,54.92,820161,26143,6.32,73.46,0.71,1.59,0.08,8.27,9.56,59.7,7613,28.67,19.21,49747
128,"African Burial Ground, Chrystie Street",40.7221574,-73.9923486,82,No,57,1795,1852,1,86132,26060,33.9,14.38,36.8,1163934,68257,47.94,5.84,0.38,29.16,0.13,8.11,8.43,75.8,15451,16.2,15.51,78951
130,"B'nai Jeshurun Cemetery, 32nd Street",40.7496511,-73.9908002,83,No,25,1826,1851,1,38944.5,11783,31.9,8.07,30.87,737805,95133,46.73,13.14,0.42,28.17,0.4,4.55,6.59,78.8,6929,8.42,10.06,127841
138,Burroughs Family Cemetery,40.7431302,-73.8697105,84,No,133,1821,1954,1,73681.5,22293,36.8,10.43,61.04,926935,25143,6.73,1.31,3.71,33.58,0.04,45.37,9.28,82.4,6618,19.85,14.43,69307
146,Nagel Cemetery,40.8674519,-73.9154136,85,No,144,1664,1808,1,26494,8016,40.6,16.99,46.91,574679,47218,30.06,8.22,1.32,3.26,0.12,38.74,18.26,85.1,3854,22,18.54,71615
147,Bensonia Cemetery,40.8189095,-73.9107772,86,No,15,1853,1868,1,63214.1,19126,35.1,11.77,56.39,328912,22384,8.63,37.38,1.65,1.38,0.2,35.31,15.44,84.1,7525,37.84,33.03,35674
149,"Cornell Cemetery, Little Neck",40.7651316,-73.7258127,87,No,111,1841,1952,1,10940,3310,48.4,27.07,41.75,844776,54582,39.76,1.03,0.09,50.48,0,3.93,4.71,64.6,1270,27.9,3.15,103769
156,Schenck Family Burial ground,40.7104542,-73.9219096,29,No,,1724,,1,12017.5,3636,33.5,8.53,51.8,880639,40568,32.26,12.27,2.2,13.01,0.06,27.45,12.79,88.5,1332,19.92,15.06,83333
159,Kingsbridge Burial Ground,40.890615,-73.8933229,,No,171,1717,1888,1,1864.1,564,35.3,11.52,43.1,750000,38402,27.84,23.05,0.53,5.32,0.35,27.48,15.6,88.3,272,32.04,14.08,70651
162,Union Cemetery,40.6966881,-73.9120936,27,No,45,1852,1897,1,66849.8,20226,32.8,9.9,60.61,1082386,35232,21.52,14.48,2.24,7.83,0.06,39.66,14.21,86.9,7768,20.49,21.07,73392
165,Southside Burial Ground,40.6707088,-73.8442795,,No,344,1680,2024,1,25376.9,7678,43.4,21.5,39.59,549198,41566,41.66,8.56,1.08,11.87,0.05,21.96,14.83,86.3,3293,32.38,7.93,76762
167,St. Fidelis Graveyard,40.7849633,-73.8441484,89,No,38,1856,1894,1,33140.6,10027,36.5,13,53.94,860162,30340,21.39,1.87,1.8,30.58,0.01,32.49,11.86,87,3270,19.67,12.6,67243
170,St. Luke's Churchyard,40.7323768,-74.0070218,90,No,71,1820,1891,1,63276.9,19145,36.1,14.69,35.46,1336893,125885,79.38,2.14,0.1,6.98,0.05,2.61,8.73,45.3,13661,9.43,6.2,142447
172,Carmine Street Lutheran Cemetery,40.7297919,-74.0053979,91,No,38,1808,1846,1,64053.6,19380,34.2,12.64,33.1,1360119,120410,76.69,2.32,0.07,9.26,0.05,2.62,8.99,49.1,13695,9.25,6.8,137785
174,"St. John's Cemetery, Greenwich Village",40.7299567,-74.006131,8,No,89,1806,1895,1,58408.4,17672,34.6,13.09,33.84,1385152,122766,77.06,2.34,0.07,8.74,0.05,2.7,9.03,48.7,12638,9.5,6.6,141240
175,Hopper Family Burial Ground,40.7634978,-73.9893171,94,No,62,1778,1840,1,109641.4,33173,36.5,13.33,28.39,963251,89138,50.97,7.13,0.56,20.7,0.08,9.36,11.19,78,23647,20.8,10.86,93595
182,11th Street Catholic Cemetery,40.7292553,-73.9827413,92,No,50,1833,1883,1,106187.6,32128,32,12.81,31.14,880890,84622,63.13,5.06,0.3,14.82,0.1,6.56,10.03,67.8,20164,11.68,15.42,102096
183,Johnson Burial Ground,40.7381918,-73.7451948,,No,-1855,1855,,1,8173.6,2473,50.7,28.95,33.27,587838,61862,40.15,4.25,0.32,41.04,0,5.26,8.94,73.4,1270,31.32,9.25,89303
184,French Church of Esprit,40.7077004,-74.0096077,96,No,143,1688,1831,1,102122.2,30898,30.6,3.42,32.76,1460827,127801,62.31,4.96,0.19,19.8,0.09,3.1,9.53,64.2,19597,3.71,5.54,200001
185,Strattonport Village Cemetery,40.7845111,-73.8432464,99,No,10,1851,1861,1,31663.2,9580,36.4,12.86,54.64,865038,29576,21.22,1.94,1.82,30.44,0.01,32.76,11.82,87,3111,19.85,13.39,65478
186,"Indian Cemetery, Little Neck",40.7694892,-73.7368716,97,No,72,1859,1931,1,12281.9,3716,47.3,23.63,44.04,987085,54614,33.77,0.7,0.38,50.57,0.03,5.22,9.34,71.2,1423,25.88,11.03,118484
189,The Old Graveyard of New Amsterdam,40.706453,-74.0133484,98,No,20,1656,1676,1,76312.4,23089,33,5.61,36.66,1310904,139052,60.75,3.49,0.17,22.53,0.07,2.76,10.22,64.4,14632,5.17,2.84,200001
190,Provoost Vault,40.7659109,-73.9532349,,No,108,1749,1857,1,94510.5,28595,38,19.89,38.7,1014938,102386,71.22,2.69,0.15,15.39,0.07,2.34,8.14,54.1,18114,13.48,7.08,115533
